User Name,First Name,Last Name,Display Name,Job Title,Department,Office Number,Office Phone,Mobile Phone,Fax,Address,City,State or Province,ZIP or Postal Code,Country or Region
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123453,123-555-1213,123-555-6643,123-555-9823,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123454,123-555-1214,123-555-6644,123-555-9824,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123455,123-555-1215,123-555-6645,123-555-9825,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123456,123-555-1216,123-555-6646,123-555-9826,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123457,123-555-1217,123-555-6647,123-555-9827,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123458,123-555-1218,123-555-6648,123-555-9828,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123459,123-555-1219,123-555-6649,123-555-9829,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123460,123-555-1220,123-555-6650,123-555-9830,1 Microsoft way,Redmond,Wa,98052,United States
user@contoso.com,Name,Last,Name Last,IT Manager,Information Technology,123461,123-555-1221,123-555-6651,123-555-9831,1 Microsoft way,Redmond,Wa,98052,United States
